trialnumber,blocknumber,success,reactiontime,currentcongruency,currentdirection,currentlocation,previouscongruency,previousdirection,previouslocation
40,3,1,472,1,0,1,1,1,0
41,3,1,363,0,1,1,1,0,1
42,3,1,448,1,1,0,0,1,1
43,3,1,424,1,1,0,1,1,0
44,3,1,348,0,1,0,1,1,0
45,3,1,445,0,1,1,0,1,0
46,3,1,391,1,0,0,0,1,1
47,3,1,344,0,1,0,1,0,0
48,3,1,407,1,1,0,0,1,0
49,3,1,407,1,1,0,1,1,0
50,3,1,403,0,1,0,1,1,0
51,3,0,295,1,0,1,0,1,0
52,3,1,484,0,0,1,1,0,1
53,3,1,645,0,0,0,0,0,1
54,3,1,477,1,0,0,0,0,0
55,3,1,382,1,1,1,1,0,0
56,3,1,443,1,0,1,1,1,1
57,3,1,370,1,0,0,1,0,1
58,3,1,317,1,0,0,1,0,0
59,3,1,375,1,1,1,1,0,0
60,3,1,420,0,0,1,1,1,1
61,3,1,428,0,1,1,0,0,1
62,3,1,369,1,0,0,0,1,1
63,3,1,453,1,0,1,1,0,0
64,3,1,392,0,0,0,1,0,1
65,3,1,414,1,0,0,0,0,0
66,3,1,598,0,1,0,1,0,0
67,3,1,388,0,0,0,0,1,0
68,3,0,347,0,0,1,0,0,0
69,3,1,444,0,0,1,0,0,1
70,3,1,514,1,0,1,0,0,1
71,3,1,519,0,1,1,1,0,1
72,3,1,359,0,0,0,0,1,1
73,3,1,521,0,1,0,0,0,0
74,3,1,607,1,1,0,0,1,0
75,3,1,495,1,0,1,1,1,0
76,3,1,387,1,0,0,1,0,1
77,3,1,536,0,1,0,1,0,0
78,3,1,299,0,0,0,0,1,0
79,3,0,305,0,0,1,0,0,0
80,3,1,286,0,0,0,0,0,1
81,3,1,389,1,1,1,0,0,0
82,3,1,646,1,1,0,1,1,1
83,3,1,382,1,0,0,1,1,0
84,3,1,537,0,0,1,1,0,0
85,3,1,452,1,0,1,0,0,1
86,3,1,484,0,1,1,1,0,1
87,3,0,317,0,1,0,0,1,1
88,3,1,485,1,1,1,0,1,0
89,3,1,506,1,1,1,1,1,1
90,3,1,394,1,0,0,1,1,1
91,3,1,372,0,0,0,1,0,0
92,3,1,340,1,1,1,0,0,0
93,3,1,428,0,1,1,1,1,1
94,3,1,349,0,1,1,0,1,1
95,3,1,349,0,0,0,0,1,1
96,3,1,405,0,1,1,0,0,0
97,3,1,424,0,1,1,0,1,1
98,3,1,669,1,1,0,0,1,1
99,3,1,459,1,0,1,1,1,0
100,3,1,465,1,1,0,1,0,1
101,3,1,492,1,0,0,1,1,0
102,3,1,354,0,1,1,1,0,0
103,3,1,453,1,0,0,0,1,1
104,3,1,359,0,0,0,1,0,0
105,3,1,460,1,1,0,0,0,0
106,3,1,484,1,1,0,1,1,0
107,3,1,412,0,0,0,1,1,0
108,3,1,404,0,0,0,0,0,0
109,3,1,455,0,0,1,0,0,0
110,3,1,474,0,0,1,0,0,1
111,3,1,380,1,0,0,0,0,1
112,3,1,447,1,1,0,1,0,0
113,3,1,471,0,0,1,1,1,0
114,3,1,493,0,0,1,0,0,1
115,3,1,363,0,0,0,0,0,1
116,3,1,370,0,0,0,0,0,0
116,3,1,370,0,0,0,0,0,0
117,3,1,358,0,0,0,0,0,0
118,3,1,442,0,1,0,0,0,0
119,3,1,352,1,1,1,0,1,0
120,3,1,428,1,0,0,1,1,1
121,3,1,380,1,0,0,1,0,0
122,3,1,490,1,0,1,1,0,0
123,3,1,429,1,1,0,1,0,1
124,3,1,475,0,0,1,1,1,0
125,3,1,487,0,0,0,0,0,1
126,3,0,338,0,1,0,0,0,0
127,3,1,417,1,0,0,0,1,0
128,3,1,319,0,1,1,1,0,0
129,3,1,587,1,1,0,0,1,1
130,3,1,443,1,1,1,1,1,0
131,3,1,365,0,1,1,1,1,1
132,3,1,307,0,1,1,0,1,1
133,3,1,466,0,0,1,0,1,1
134,3,0,0,1,1,0,0,0,1
135,3,1,415,0,0,1,1,1,0
136,3,1,426,0,1,0,0,0,1
137,3,1,438,1,0,1,0,1,0
138,3,1,501,0,0,0,1,0,1
139,3,1,357,1,1,1,0,0,0
140,3,1,333,0,1,1,1,1,1
141,3,1,639,0,1,0,0,1,1
142,3,1,495,0,0,1,0,1,0
143,3,1,404,1,1,1,0,0,1
144,3,1,991,1,0,1,1,1,1
145,3,1,317,1,0,0,1,0,1
146,3,1,543,0,0,1,1,0,0
147,3,1,364,0,1,1,0,0,1
148,3,1,463,0,1,1,0,1,1
149,3,1,442,0,0,1,0,1,1
150,3,1,372,0,1,1,0,0,1
151,3,1,381,1,1,1,0,1,1
152,3,1,612,0,1,0,1,1,1
153,3,1,396,1,0,1,0,1,0
154,3,1,305,1,0,0,1,0,1
155,3,1,433,0,0,1,1,0,0
156,3,1,393,0,0,1,0,0,1
157,3,1,390,1,0,0,0,0,1
158,3,1,381,1,1,1,1,0,0
159,3,1,653,1,1,1,1,1,1
160,3,1,561,1,1,0,1,1,1
1,4,1,505,0,1,0,0,1,0
2,4,1,423,0,0,1,0,1,0
3,4,1,464,0,0,0,0,0,1
4,4,1,459,1,1,1,0,0,0
5,4,1,362,1,1,1,1,1,1
6,4,1,313,1,0,0,1,1,1
7,4,1,632,0,1,0,1,0,0
8,4,1,468,0,1,0,0,1,0
9,4,1,494,0,1,1,0,1,0
10,4,1,476,0,0,1,0,1,1
11,4,1,362,0,0,0,0,0,1
12,4,1,478,0,1,0,0,0,0
13,4,1,322,1,1,1,0,1,0
14,4,1,463,0,1,0,1,1,1
15,4,1,435,1,0,1,0,1,0
16,4,1,481,1,0,1,1,0,1
17,4,1,451,0,0,1,1,0,1
18,4,1,454,0,1,0,0,0,1
19,4,1,437,1,0,1,0,1,0
20,4,1,395,0,1,0,1,0,1
21,4,1,419,0,0,1,0,1,0
22,4,1,419,0,1,0,0,0,1
23,4,1,639,1,1,1,0,1,0
24,4,1,346,0,1,1,1,1,1
25,4,0,289,1,1,0,0,1,1
26,4,1,403,0,0,0,1,1,0
27,4,1,460,1,1,0,0,0,0
28,4,1,444,1,0,1,1,1,0
29,4,1,497,1,0,0,1,0,1
30,4,1,425,0,0,0,1,0,0
31,4,1,475,0,0,1,0,0,0
32,4,1,309,0,0,0,0,0,1
33,4,1,424,0,0,0,0,0,0
34,4,1,312,1,1,1,0,0,0
35,4,1,394,0,0,1,1,1,1
36,4,0,373,1,0,1,0,0,1
37,4,1,375,1,0,0,1,0,1
38,4,1,373,0,1,1,1,0,0
39,4,1,304,1,0,0,0,1,1
40,4,1,351,1,0,0,1,0,0
41,4,1,353,1,1,1,1,0,0
42,4,1,313,0,0,0,1,1,1
43,4,1,321,1,1,1,0,0,0
44,4,0,328,1,1,0,1,1,1
45,4,1,451,0,0,1,1,1,0
46,4,1,390,0,1,1,0,0,1
47,4,1,581,1,1,0,0,1,1
48,4,1,357,1,0,0,1,1,0
49,4,1,419,1,0,1,1,0,0
50,4,1,396,0,1,1,1,0,1
51,4,1,455,1,1,0,0,1,1
52,4,1,412,0,1,0,1,1,0
53,4,1,392,0,0,0,0,1,0
54,4,1,354,0,0,0,0,0,0
55,4,1,510,1,0,1,0,0,0
56,4,1,475,1,1,0,1,0,1
57,4,1,359,1,1,1,1,1,0
58,4,1,380,1,1,1,1,1,1
59,4,1,339,0,1,1,1,1,1
60,4,1,376,0,1,1,0,1,1
61,4,1,451,1,1,1,0,1,1
62,4,1,481,0,0,1,1,1,1
63,4,1,389,1,0,0,0,0,1
64,4,1,417,0,0,1,1,0,0
65,4,1,442,1,1,0,0,0,1
